date;year;tx;tn;rhx;rhn;rs;et0;station
2000-10-18;2000;25.99;8.9;93.3;25.25;16.45;2.164671462396045;COR06
2000-10-19;2000;27.54;12.39;86.0;26.26;16.47;2.40133968817344;COR06
2000-10-20;2000;20.11;11.6;95.4;51.42;4.392;1.1294214116547563;COR06
2000-10-21;2000;18.5;12.39;95.6;46.7;10.79;1.6038916887240229;COR06
2000-10-22;2000;24.67;12.73;94.6;43.58;14.47;2.4328776727531536;COR06
2000-10-23;2000;23.06;11.79;97.0;51.81;9.78;1.8188879875366253;COR06
2000-10-24;2000;23.86;12.06;97.2;42.64;12.05;1.941180717147931;COR06
2000-10-28;2000;26.6;11.05;95.7;34.07;14.5;1.957794266611613;COR06
2000-10-29;2000;24.65;9.65;95.8;33.6;14.63;1.7330143153526485;COR06
2000-10-30;2000;21.7;8.43;98.2;43.52;12.67;1.6177219344999003;COR06
2000-10-31;2000;18.89;10.05;96.6;45.75;3.657;1.2495664898523284;COR06
2000-11-01;2000;19.16;5.074;98.4;39.08;4.382;1.1041217419455376;COR06
2000-11-02;2000;17.43;5.412000000000001;97.8;64.04;2.14;1.005557348160202;COR06
2000-11-03;2000;19.1;7.22;97.8;39.16;6.271;1.4584941465333912;COR06
2000-11-04;2000;17.15;4.13;98.1;37.47;7.16;1.0314949602464931;COR06
2000-11-05;2000;15.95;7.76;97.7;67.95;2.5340000000000003;0.8055793822592809;COR06
2000-11-06;2000;19.3;9.92;96.1;38.14;9.79;2.3052044169667574;COR06
2000-11-07;2000;17.3;5.614;96.4;37.88;9.47;1.466694108077088;COR06
2000-11-08;2000;15.07;2.389;99.1;60.13;7.02;0.8671171875233538;COR06
2000-11-09;2000;16.02;4.062;99.1;37.95;9.35;1.3961690385662129;COR06
2000-11-10;2000;17.95;3.927;94.7;39.83;10.79;1.4987627790029423;COR06
2000-11-11;2000;21.57;7.42;92.4;42.84;12.36;1.6507495591165344;COR06
2000-11-12;2000;22.71;7.49;96.1;47.76;10.37;1.4959012571901176;COR06
2000-11-13;2000;16.76;10.1;97.1;71.8;3.593;0.9735955681524028;COR06
2000-11-14;2000;14.8;8.57;97.0;60.13;7.39;0.8080844160788551;COR06
2000-11-15;2000;18.15;7.5;91.9;45.97;7.95;1.3060487399215082;COR06
2000-11-16;2000;15.28;3.997;98.1;57.1;5.706;0.8185162326198191;COR06
2000-11-17;2000;17.55;5.681;99.7;37.68;6.87;0.9690324994744768;COR06
2000-11-18;2000;15.87;3.462;98.1;34.37;7.96;0.9537557003975528;COR06
2000-11-19;2000;15.34;1.917;98.6;56.3;7.66;0.8345900935717321;COR06
2000-11-22;2000;15.9;10.71;95.3;74.0;3.209;0.8631864212294209;COR06
2000-11-23;2000;19.5;7.55;97.2;46.23;7.29;1.6673542669291792;COR06
